	title	category
156785	Jodie Foster Is Now A Married Woman! Wait, When Did That Happen?	e
378842	New mom becomes first to be charged with 'drug assault' of her newborn child  ...	m
82148	Chris Martin shows quick wit serving as guest mentor on The Voice	e
34619	US FDA approves Celgene drug for psoriatic arthritis	m
101221	Canadian Dollar at Three-Month High After Minutes Damp Fed Bets	b
415954	Forget the ice bucket challenge – people of war-torn Gaza make a point by  ...	e
27336	Game Of Thrones Trailer #4: Baby Starks And General Gloom and Doom	e
334205	Europe steps in to prevent Bulgaria's banks going in to meltdown with  ...	b
54609	American Idol's Harry Connick Jr calls Alex Preston's ankles 'sexy'	e
138405	Lawyer: Bryan Singer Not In Hawaii During Sexual Assault Claim	e
410820	The Whitewashing of James Brown	e
233594	Some Good News for the E-Cig Industry: Vaping Can Help Smokers Quit	m
157949	Gene Therapy Could Boost Cochlear Implants, Animal Study Finds	m
62298	Kimye And The #WorldsMostTalkedAbout Cover Of Vogue	e
249457	Another medical use for cannabis as scientists find it helps reduce seizures in  ...	m
396708	Dave Bautista - Dave Bautista Cried At Landing Guardians Of The Galaxy Role	e
218204	"UPDATE 1-Stallone's ""arthritic"" action heroes roll their tanks through Cannes"	e
270700	The Bachelorette Recap: Second Hand Awkwardness	e
21109	UPDATE 1-BMW eyes US production hike in push for sales record	b
382861	Yellen Says Fed Hasn't Met Goals on Inflation, Unemployment	b
126977	Robin Williams preps long-awaited sequel to Mrs. Doubtfire, in which he starred  ...	e
139621	Potential Sprint/T-Mobile deal may prompt US auction rethink	t
269793	Illinois woman's win streak on 'Jeopardy!' ends as she becomes second-place  ...	e
22752	"Mick Jagger Issues Single Statement Regarding ""Lover And Best Friend"" L'Wren  ..."	e
304482	UPDATE 1-US government confident new vaccine will help fight pig virus	m
338998	FOREX-Dollar falls as sentiment weakens ahead of US data	b
210418	Ben Affleck's New Ride is Sweet: Batmobile Is (Partially) Revealed in Sneaky  ...	e
275601	Euro Near Three-Month Low as Volatility Surges Before ECB Meet	b
412567	Boeing Wins $8.8 Billion BOC Order on Asia Lease Demand	b
404366	Experts warn deadly Ebola virus could spread to Britain through MEAT  ...	m
217705	Beyonce's 'Run' Trailer Givenchy Lace Pant Suit Is Bloody Hot	e
53744	Exodus: When Actors Decide to Leave the Shows We Love	e
155302	Facebook Leaves Mobile Concerns in Dust With Surge in Sales (1)	b
75795	The 10 Worst Cities For Spring 2014 Allergies	m
230651	RPT-BOJ offers brighter view on capex, policy steady	b
363737	JPMorgan and Danske Among Funds Exposed to Gowex Fraud	b
398063	CORRECTED-GLOBAL MARKETS-China shares lead Asia higher, dollar buoyed	b
181981	MSNBC Celebrates Cinco De Mayo In Worst Possible Way	e
234100	UPDATE 1-China anti-graft watchdog visits Roche amid pharma crackdown	b
137507	While no deals are in place yet, Williams and Chris Columbus are in talks to join  ...	e
162135	Austin Mahone dons a very similar look to Justin Bieber as he wears black  ...	e
190457	Mighty Morphin Power Rangers - Power Rangers Feature Film In The Works	e
192434	Euro buoyant as European Central Bank hold rates	b
312392	Transsexual model Ava Sabrina London tells all about her 'paid sexual  ...	e
12887	UPDATE 1-Sandwich chain Quiznos files for bankruptcy protection	b
316915	US allows condensate oil exports, after light refining	b
296937	Iraq concerns lift top-rated euro zone bonds but Fed limits gains	b
281874	US STOCKS-Wall St edges up as Intel leads gains in tech	b
152178	Ackman: Pharma Industry Ripe for Cost Cuts	b
418211	US Budget Gap Narrows to Smallest Since 2007, CBO Says	b
355002	He's back! First look at Henry Cavill as Man Of Steel in new Batman V Superman  ...	e
363894	Pound Falls on Fed Rates Speculation	b
79380	How a healthy young heart could cut risk of Alzheimer's	m
140197	UN peace envoy criticizes Israeli Easter security in Jerusalem	e
4934	BoE's Carney says worried UK mortgage underwriting standards could deteriorate	b
177701	Detroit Cinco De Mayo Parade Shooting Leaves 19-Year-Old Father Dead	e
348450	UPDATE 2-Pimco suffers 14th month of outflows at Total Return Fund	b
145644	Now Lindsay Lohan 'admits she is dating a married father in bombshell interview  ...	e
268894	U.S. Takes Down Crime Ring That Infected Over 500000 Computers	t
148752	What's Changed (and What Hasn't Changed) for People with Infertility in the Past  ...	m
391084	CORRECTED-Shire, AbbVie to announce $53 billion merger by Friday -sources	b
273458	Apple WWDC: Good News for iPhone Users, Bad News for Developers	t
381699	Sandra Bullock's Alleged Stalker Had A Whole Scrapbook Dedicated To Her  ...	e
257916	Kim Kardashian - Kim Kardashian's 'very normal' wedding	e
324605	Kim Replaces Defense Minister in North Korea's Latest Shakeup	e
86451	Game of Thrones Premiere Leads To The Great HBO Go Crash Of 2014	e
333014	She's not sulking! Zendaya makes a fashion statement at the BET Awards  ...	e
350851	"Everything Is Doom And Gloom In First Trailer For ""The Killing"" Final Season"	e
235693	'Magic In The Moonlight' Trailer Shows Woody Allen's Latest Trip To Europe	e
335714	NASA Tests Saucer-Shaped Craft for Mars Mission	t
287011	Kim Kardashian Shares Family Photo With North West From Her Wedding Day	e
349773	Sheryl Sandberg Stops Short Of Apology For Facebook Mood Study	t
115558	Miley Cyrus - Miley Cyrus Films Fight Between Fans At Concert	e
304463	HAVANA (AP) — Cuban authorities are confirming the country's first six cases of  ...	m
76213	UPDATE 3-US FDA panel votes in favor of two anti-infective drugs	m
174627	The Voice judges reach for superlatives as final 10 singers perform live	e
338725	European shares edge higher as BNP Paribas rebounds	b
406846	Is your USB drive at risk? 'Invisible yet fundamental' flaw that lets hackers take  ...	t
331735	'The Leftovers' Review: A 'Lost' Producer Goes To The Dark Side	e
8739	PRECIOUS-Gold rises on concern over Ukraine crisis, Chinese growth	b
156876	Amber Heard on set after birthday night with Johnny Depp	e
184330	Whole Foods cuts 2014 forecasts again as competition bites	b
322067	Yen Gains Amid Weaker-Than-Forecast US Economic Data	b
250861	Bunny Yeager Dead: Pin-Up Photographer Who Helped Launch Bettie Page's  ...	e
222661	MERS virus spread from one man to another in Illinois 'during business meeting  ...	m
294238	US STOCKS-Wall St ends up slightly on M&A; Iraq closely watched	b
171038	Coach Responds to Falling Sales By Raising Prices	b
301191	Redskins Remain Defiant After Trademark Cancellations: 'We Are Confident Will  ...	b
411425	Christina Aguilera - Christina Aguilera is still body confident	e
411578	US judge still has opportunity to suspend debt ruling - Argentina	b
234355	UPDATE 3-McDonald's workers protest low wages, more than 100 arrested	b
137483	Gwen Stefani to join The Voice as a judge while a pregnant Christina Aguilera  ...	e
406067	YOUR MONEY-Americans borrow less than 25 pct of college costs in 2013 -study	b
296234	UPDATE 2-Kindred Healthcare raises offer for Gentiva	m
141677	First Lady Michelle Obama To Appear On 'Nashville'	e
60629	Euro Has First Back-to-Back Weekly Losses Since November on ECB	b
303406	Justin Bieber's influence? Police called to Selena Gomez's Hidden Hills mansion  ...	e
353121	UPDATE 2-Export renewal cuts Canada's May trade gap to near zero	b
3337	Neil Young - Neil Young To Unveil Pono Music Service And Device At Sxsw	e
122848	AC/DC Retirement Rumors Swirl Around Malcolm Young's Health	e
238086	UPDATE 2-China's JD.com prices IPO above expectations, bodes well for Alibaba	b
275702	European shares steady; all eyes on ECB	b
212145	How Old People and Pricey Shrimp Turned Red Lobster Into a Castoff	b
248452	Turkish Drama 'Winter Sleep' Wins Palme d'Or At Cannes Film Festival	e
60569	UPDATE 2-BMW to invest $1 bln to expand US production by 50 pct	b
241850	Driverless cars to get their own licenses: First certificates will be issued to  ...	t
380088	Does YOUR dog have 'domestication syndrome'? Scientists reveal why pets  ...	t
177447	Emma Stone On Gwen Stacy & That 'Amazing Spider-Man 2' Ending	e
58742	Darren Aronofsky - Darren Aronofsky Honours His English Teacher At Noah  ...	e
274543	Despite Tabloid Reports, Miranda Lambert Is Not Getting A Divorce, Pregnant Or  ...	e
376118	Decades-old vials of FORGOTTEN smallpox found is in U.S. government storage  ...	m
214725	UPDATE 1-New York Times publisher denies sexism, calls Abramson bad  ...	e
373623	All five of Garth Brooks' Irish comeback shows canceled	e
353304	Goldman's Buy-China Call Has History on Its Side	b
120550	UPDATE 2-Alibaba's growth quickens in time for landmark US IPO	b
271693	Three-parent babies 'could be a reality within two years' after report finds  ...	m
383417	What the Fox-Time Warner Merger Would Mean for Superheroes	b
2933	Comic film 'Neighbors' pits party-over against party-on	e
389215	Lea Michele misses Cory Monteith's memorial	e
350303	Moo-ve along, Bigfoot, nothing to see here: Genetic test of 30 different hairs  ...	t
90295	Guinea Says All Departing Airport Passengers Being Screened For Ebola	m
82168	Kaley Cuoco Opens About Whirlwind Romance With New Husband Ryan  ...	e
133045	Facebook's Nearby Friends service will share your exact location with friends	t
393668	Medicare Hospital Fund To Last 4 Years Longer Than Expected	b
419026	Irreversible Damage Seen From Climate Change in UN Leak	t
365506	First look at Neil Patrick Harris as a VERY creepy ex-boyfriend in the second  ...	e
356654	European Bankers to Meet ECB on Asset Check Update From July 8	b
345712	Sherlock Twitter Deluge Reveals Information on Special Plus New Series	e
144209	China Court Impounds Japanese Ship in Unprecedented Seizure (2)	b
281923	US STOCKS-Wall St falls on retail data; oil lifts energy shares	b
318463	Aereo Ruling Sidesteps Cloud Computing Copyright Question	t
218571	Girls Gone Wild's Joe Francis jailed and ordered to undertake anger  ...	e
85971	John Pinette Dead: Comedian And 'Seinfeld' Actor Dies At 50 (VIDEO)	e
130188	Tom Cruise, Laura Prepon Rumored To Be Dating Even Though They've  ...	e
404470	The Calorie Counts Of These 9 Chain Restaurant Meals Will Horrify You	m
258948	US regulator urges law to force disclosures by data brokers	b
341081	GM victims' fund for ignition defect to have wide eligibility	t
289563	Treasuries Rise as Fed Meeting, Iraq Tensions Drive Haven Demand	b
321207	New York City's Soda Ban Fizzles Out For Good	m
195872	Omnicom, Publicis Abandon $35 Billion Global Advertising Merger	b
418298	IMF Chief Lagarde Under Investigation In French Fraud Case	b
86737	'Captain America' Opens With $96.2 Million, a Record April Debut	e
326787	Moody's cuts ratings on two Puerto Rico public corporations	b
275805	China May factory output up 8.8 pct yr/yr, in line with forecast	b
114254	MTV Movie Awards: That Awkward Moment When Zac Efron Gave His Best  ...	e
247732	Modesty Is the New Abercrombie	b
172453	Did Calvin Klein Really Choose Justin Bieber And Kendall Jenner As New  ...	e
223107	UK Inflation Quickens More Than Forecast on Airfare Surge (1)	b
126456	Ice Cube - Ice Cube Clarifies Paul Walker Comments	e
289809	EU's energy chief says confident gas supply commitments will be met	b
4868	BOE to Get Fourth Deputy Governor as Carney Fights Rigging Claim	b
57141	Sluggish economy prompts QE rethink at Germany's Bundesbank	b
109235	Nick Carter Gets Married, Retroactively Destroys Every '90s Girl's Dreams	e
288788	Mother's outrage after JetBlue flight attendant refused to let her three-year-old  ...	e
265105	"In ""Clouds Of Sils Maria"" Kristen Stewart And Juliette Binoche Dive Deep Into  ..."	e
54826	Emma Watson changes into guaze dress for Noah premiere afterparty	e
295039	Bachelorette Andi Dorfman Leaves District Attorney's Office In Search Of  ...	e
358004	Megan Fox - Megan Fox doesn't have many friends	e
261398	German website Bild publishes Kate, Duchess of Cambridge's bare bottom picture	e
7490	What happens when 20 complete strangers lock lips for the first time	e
16557	Sally Beauty Says Data on Fewer Than 25000 Cards Breached (1)	b
104707	UPDATE 1-ECB says further euro strengthening would trigger looser monetary  ...	b
251214	X-Men: Days of Future Past Is The Blockbuster to Beat With Huge Opening Box  ...	e
88924	Jay Leno Weighs In On David Letterman's Retirement	e
230550	BOJ offers brighter view on economy, dashes near-term policy easing hopes	b
275982	NYMEX-US crude hits 9-month high amid Iraq unrest	b
371411	Pope Replaces Vatican Bank Managers as Profit Drops 97%	b
18852	Pope Francis - Pope Francis cancels meeting with Noah team	e
173605	Taco Bell Reveals What's Really In Its Beef	b
9277	Bouygues board meets to approve improved SFR bid-sources	b
275629	FOREX-Dollar rises on rates, euro anxieties	b
281776	TREASURIES-Prices inch lower in thin trading; Fed meeting looms	b
308393	Dem Mayors In Red States To Fight Climate Change As GOP Leaders Question  ...	t
245499	US Wins WTO Dispute With China Over Autos, Parts	b
153603	Is Avril Lavigne's New Music Video A Crime Against Music? [Video]	e
375639	Eva Mendes Reportedly Pregnant With Hers And Ryan Gosling's First Child	e
267457	US STOCKS-Futures tick up ahead of jobs, growth data	b
409992	REFILE-China July official PMI rises to 51.7 from 51 in June	b
315283	US STOCKS SNAPSHOT-Wall St ends nearly flat after six-day rally	b
107818	Fruit Flies Maneuver Like Fighter Jets To Avoid Predators, Study Shows (VIDEO)	t
60988	US consumers step up spending, but sentiment slips	b
376573	Hong Kong Stocks Rise for Second Day Before China Data	b
110727	'Once Upon A Time' Co-Stars, Ginnifer Goodwin and Josh Dallas, Get Married	e
389923	Tributes for Dutch HIV expert aboard MH17	m
371270	US STOCKS-Wall St falls in broad weakness, Dow below 17000	b
311243	BMW M235i Approaches Tesla Score in Consumer Reports Test	t
362327	Laggardly Dow crosses 17000 milestone	b
62574	Gwyneth Paltrow And Chris Martin's Split Angers Working Moms With Office Jobs	e
302098	UPDATE 1-Bank of England's Miles sees strong chance rates will rise before  ...	b
403551	"Paramount Australia Apologizes For Insensitive 9/11 ""TMNT"" Promo Poster"	e
289562	FOREX-Dollar dips versus yen, euro remains under pressure	b
375353	'F*** you!' George RR Martin lashes out at fans who doubt he will finish the  ...	e
115100	Sunday Roundup	e
98775	Selena Gomez - Selena Gomez fires parents as managers	e
86056	ACM Awards 2014 Red Carpet Was Filled With Revealing Prom Dresses  ...	e
369699	Katie Holmes - Katie Holmes in awe of 'spectacular' daughter	e
389182	Cory Monteith - Cory Monteith Was Preparing To Quit Hollywood	e
211394	Cervical cancer rates are MUCH higher for older and African-American women	m
319322	Lana Del Rey Scores First Billboard 200 Number One With 'Ultraviolence'	e
321818	Europe shares extend losses, traders cite US Fed official	b
43488	Don't Let Gluten-Free Become the Next Fat-Free	m
269907	Proving she's one of the glitterati! Naomi Campbell dazzles in plunging silver  ...	e
291538	Kim Kardashian Flashes Cleavage At Bonaroo Whilst Kanye West Is Booed  ...	e
195176	Dementia's tragic toll: 50000 quit jobs to care for sufferers as cost to business in  ...	m
204582	Dre Brags of Riches as Iovine Poised to Become Beats Billionaire	t
8832	PRECIOUS-Gold falls for 2nd session, US growth optimism weighs	b
247754	Going Nowhere Fast at McDonald's	b
227357	Led Zeppelin STOLE Stairway To Heaven from us, claim US band Spirit	e
200457	URGENT-Appeals court sides with Oracle in copyright suit vs. Google	t
91139	Obama to force government contractors to reveal salary breakdowns by sex and  ...	b
30672	REFILE-Toyota in US settlement over unintended acceleration -source	t
29162	UPDATE 1-Twitter hopes service restored soon in Turkey	b
320294	UPDATE 2-Chicago selected for George Lucas' 'storytelling' museum	e
203108	Drone Almost Hit US Airways Jet Over Florida in March, FAA Says	b
96215	JPMorgan profit falls 19 pct as trading revenue drops	b
16482	UPDATE 3-GM recalls 1.5 mln more vehicles; CEO says 'terrible things happened'	b
346563	Shia Labeouf - Shia Labeouf Seeking Treatment For Alcoholism	e
332575	Gary Goddard - Sex Abuse Lawsuit Against Gary Goddard Dismissed	e
91703	Cargill earnings hit by commodity market disruptions	b
153974	Video - David Letterman's Future Successor Stephen Colbert Arrives Outside  ...	e
205823	NEW YORK (AP) — Hugh Jackman has had another cancerous growth removed.	e
398430	In Federal Labor Disputes, McDonald's Just Became the Boss of Its Franchise  ...	b
243374	Is the force strong with you? JJ Abrams announces $10 lottery to appear in the  ...	e
196584	Australia shares seen rising from 3-week lows, eyes on NAB	b
292604	Harrison Ford on the mend after he was crushed under the weight of the  ...	e
131905	US Stocks Rise While Treasuries Decline on Ukraine, Earnings	b
83740	BREAKINGVIEWS-Ranbaxy sale shows risk in Japanese M&A adventures	b
276222	RPT-Fitch Affirms Rural Electrification Corporation at 'BBB-'/Stable	b
86057	George Strait Wins Entertainer Of The Year At 2014 ACM Awards	e
404027	J&J Withdraws Hysterectomy Device Tied to Cancer Spread	m
328364	Khloe Kardashian spends a relaxed 30th birthday in tracksuit with boyfriend  ...	e
170798	UPDATE 3-Twitter disappoints again on user growth and views; shares drop	b
154537	US justices show little support for Aereo TV in copyright fight	e
316951	UPDATE 5-US allows condensate oil exports, after light refining	b
32440	Angelina Jolie - Angelina Jolie Teams Up With Stella Mccartney For Kids  ...	e
375948	Rosie O'donnell - Rosie O'donnell Returning To The View	e
392556	Rapper Iggy Azalea leads the charge of Aussies nominated for MTV Video Music  ...	e
134158	Did Jesus Die Singing?	e
336516	Chiara de Blasio joins her parents at New York's Gay Pride parade as the day is  ...	e
222276	Macklemore in Hot Water as Fake Witches Nose, Wig and Beard = Racist  ...	e
150392	Snoop Dogg Gives Brian Williams' Rap Of 'Gin And Juice' The Thumbs Up	e
321824	US STOCKS-Wall St little changed ahead of data; Barclays lawsuit in focus	b
101838	US FBI conducting a probe into Herbalife-source	b
255639	Economists Rip Apart FT's Piketty Takedown	b
376982	Kodiak Oil's Big Deal Payout Is Still to Come: Real M&A	b
15485	Growing evidence that autism is linked to pollution and babies are 283% more  ...	m
239640	It's All True! Jennifer Lawrence Confirms Oscars Vomit Embarrassment	e
96417	UPDATE 1-India car sales set to rise after 2 years of decline -industry body	b
107799	Seafood Fraud Under Fire As Lawmakers Look To Combat Mislabeling Scourge	b
269727	Miranda Lambert Is Happy, In Love And (Probably) Not Carrying Alien Babes	e
18812	UPDATE 2-Judge orders singer Chris Brown to stay in jail	e
8980	UPDATE 2-Herbalife says US FTC opens inquiry long sought by Ackman	b
282546	Are Asia's crude oil buyers too relaxed over Iraq?: Clyde Russell	b
165242	Euro zone bond yields edge up as bets on ECB asset buys subside	b
213284	Apple, Google Agree To Settle Smartphone Patent Litigation	t
237333	Why Boeing Works So Hard to Avoid 'Moonshots'	b
225107	UPDATE 1-Intuit profit jumps on TurboTax demand; sees weak fourth-quarter	b
131885	US STOCKS SNAPSHOT-S&P 500, Nasdaq rise after strong results	b
191792	UPDATE 2-Brent holds steady near $108; Chinese trade data supports	b
305566	UPDATE 2-SNB says ready to act as needed in wake of ECB easing	b
104884	Merkel Lauds Greek 'Step Toward Normalcy' After Bond Sale	b
338912	Hormel to Acquire Muscle Milk Maker for $450 Million	b
307011	Ousted American Apparel CEO who faced nine sexual harassment caught on  ...	b
185030	Alibaba Founders to Keep Control With Partnership Alternative	b
265748	Fans rally around 1D	e
355742	FDA approves Spectrum Pharma's blood cancer drug	m
333243	Kelly Osbourne gets new tattoo on her head	e
415414	Mariah Carey & Nick Cannon Living Apart - Is Divorce On The Cards?	e
336320	BET Awards Misspell Lionel Richie's Name During Lifetime Achievement Honor	e
93354	Kim Kardashian and Kanye West Vogue cover is set to outsell Beyonce's	e
29851	All but one of major US banks meet Fed's stress test hurdle	b
409470	REFILE-GLOBAL MARKETS-Dollar, Treasuries yields gain after strong US GDP	b
290424	WRAPUP 1-Sturdy US manufacturing data bolster growth outlook	b
72285	Chelsea Handler Scrapping 'Chelsea Lately' Over 'Clueless' E! Network	e
107815	Instagram Down: Users Unable To Share Saturday Brunch Photos [UPDATE]	t
203427	Metro-North Bar Cars Make Last Run	b
68937	UPDATE 1-Key GM crisis questions: Who approved switch revision and why  ...	t
120925	UPDATE 2-Tesco to step up price cuts as CEO defies pressure to quit	b
283366	Ford Shows Why Hybrids Aren't Nearly as Efficient as We Think	t
61523	Charter Challenges Comcast-Time Warner Cable Deal in Proxy (3)	t
46150	Vin Diesel - Vin Diesel Pens New Tribute To Paul Walker	e
289475	Williams Cos to buy stake in Access Midstream Partners for $3 bln -Bloomberg	b
59808	Invasive Cancer Rate Drops In US	m
274432	Justin Bieber Caught Using N-Word & Joining KKK In Second Racist Video	e
288954	Miss USA Nia Sanchez Stands By 'Self Defense' And 'Martial Arts' As A Way To  ...	e
171956	UPDATE 1-Mercedes recalls 284000 cars in US, Canada over tail lights	t
131272	Creatively Cope With Kids' Food Allergies This Easter	m
328620	Mark Wahlberg - Mark Wahlberg Was 'Absolutely Miserable' On The Gambler Diet	e
420668	Will Hayden Arrested On Child Rape Charges & Discovery Cancels Sons Of Guns	e
286047	Hidden 'Ocean' Discovered Deep Underground Near Earth's Core	t
397697	Twitter flying high: Stock soars as firm beats estimates and reveals it now has  ...	b
275330	Shoppers Boycott 'Big Bad' Amazon, Head To Walmart.com	b
44149	ECB's Weidmann says sanctions would put brake on Russian economy	b
2274	"Latest ""Game Of Thrones"" Trailer Reveals Nothing New, But Here Are Some  ..."	e
194525	Fed Up With Big Soda?	e
130990	'Transcendence' Passed Over For Critics' Praise: What's Wrong With Johnny  ...	e
191765	UPDATE 4-Brent below $108 on signs of easing Ukraine tensions	b
35237	UPDATE 2-California DMV probing possible breach of credit card system	b
207921	S&P 500, Dow Climb to Records on Tech Rally as Copper Advances	b
151991	P&G's Lafley Progresses on Cost Cuts With Sales Gain Elusive (1)	b
263080	TOP Oil Market News: WTI Rebounds as Cushing Stockpiles Shrink	b
192046	Alibaba Files to Go Public in US IPO of E-Commerce Giant	b
245529	Bardot's Once-Sexy Lancia Banished to Italy in Fiat Remake	t
240345	Canada Retail Sales Post Surprise Dip From Record on Autos (1)	b
411436	Christina Aguilera - Pregnant Christina Aguilera Strips For Revealing Magazine  ...	e
273863	John Mayer - John Mayer Encourages Ex-girlfriends To Write Songs About Him	e
22953	Shakira loses out as Adam Levine steals talent Brittnee Camelle on The Voice	e
290189	UPDATE 1-Russia cuts gas to Ukraine, flows to EU threatened	b
300073	Paul Simon And Edie Brickell Cleared Of Domestic Disturbance Charges	e
304024	Beyonce takes a backseat as Destiny's Child reunite in video for Michelle  ...	e
110636	'Mad Men' Season 7 Premiere Review: Flying Solo	e
358278	#AskThicke: The Best Of Robin Thickeâ€™s Twitter Q&A	e
410240	UPDATE 2-Fiat to focus on improving Chrysler margins to meet 2014 profit target	b
82763	Toby Kebbell Cast As Villain Doctor Doom In 'Fantastic Four' Reboot	e
199968	UPDATE 3-US takes first step toward fracking disclosure rules	b
390453	PRECIOUS-Gold rebounds on bargain hunting after two-day tumble	b
74427	'How I Met Your Mother' Series Finale Recap: 'Last Forever'	e
44244	CORRECTED-UPDATE 1-Hong Kong's soaring bank exposure to China sparks  ...	b
282171	PokerStars' Scheinberg Becomes Billionaire on Sale to Amaya	b
138115	Kimchi Truong, 24, dies from overdose after collapsing at Coachella	e
150200	Samsung Seen Seeking to Show Apple's $2 Billion Claim as Greedy	t
283851	UPDATE 2-Tesla Motors to share patents to spur electric car development	t
407044	T-Mobile Keeps Adding Subscribers as Forecast Raised	t
271600	UPDATE 1-Saudi Arabia sacks minister criticised over handling of MERS	m
146533	UPDATE 3-Netflix plans to raise prices as US streaming subcribers grow	b
372699	Heartbreaker! Justin Bieber's pal Chantel Jeffries leaves little to the imagination  ...	e
125118	US STOCKS-Wall St up on Chinese and US data, Yellen comments	b
378503	UPDATE 1-Death toll from West Africa Ebola outbreak jumps to 603 -WHO	m
214145	Nasa says Jupiter's 'great red spot' is getting smaller	t
222041	'Godzilla' Does The Monster Stomp Around Box Office 'Neighbors' With $93M  ...	e
338679	Europe Banks in US Scrutiny as BNP Pays $8.97 Billion	b
387476	Microsoft Eliminating 18000 Jobs as Nadella Streamlines	t
123586	29 Must-See Movies At The 2014 Tribeca Film Festival	e
15961	UPDATE 3-US administration says Obamacare enrollment tops 5 million	b
273938	Beyonce Supposedly Brawled With 50 Cent, According To 50 Cent	e
85740	Gwyneth Paltrow - Gwyneth Paltrow's mum helping her with split	e
131681	CORRECTED-Retailer Michaels Stores confirms payment card data breach	b
186736	Back-up dancer sues Britney Spears for 'recklessly' breaking her nose in rehearsal	e
279127	The Fault in the Film	e
292405	US stocks are moving lower in midday trading as traders keep a close eye on the  ...	e
337148	'I miss you and I'm sorry': Robin Thicke dedicates yet ANOTHER song to  ...	e
205233	10 Months On: Lea Michele Remembers Cory Monteith With Sweet Photo Tribute	e
113935	Captain America tops the box office and made over 60 MILLION DOLLARS  ...	e
195960	FOREX-Battered euro nervous after slumping on dovish Draghi comments	b
164037	Musk's SpaceX to Sue Over Lockheed-Boeing Launch Monopoly (1)	t
319803	Demi Lovato Opens Up About Her Gay Family History	e
398689	Total second-quarter reveals freeze on Novatek stake buying post MH17 downing	b
155244	Hyundai Profit Misses Estimates as Won Threatens Exporters (2)	b
398428	McDonald's Can Be Liable For Issues At Franchise-Owned Restaurants, NLRB  ...	b
274875	Tom Cruise - Tom Cruise Surprises Fans At Movie Theatre	e
261592	"Critics Can't Find Common Ground On ""Maleficent"", But You Should Still See It"	e
300738	Big Tobacco Keeps Pushing Into E-Cigarettes	m
69312	Frozen smashes records to beat Toy Story 3 as the highest grossing animated  ...	e
47048	UPDATE 1-Ukraine to hike domestic gas prices by 50 pct to meet IMF demands	b
27601	Wheel Of Fortune contestant Emil stuns host Pat Sajak by guessing puzzle	e
271515	50 Cent's Latest Album, 'Animal Ambition,' Is Proof He's Getting Older	e
35877	Wasted Catch: It's Time to Stop Wasting Seafood	t
198486	'Tony The Tiger' Iconic Voice Actor Lee Marshall Dies	e
179805	UN: Spread Of Polio Is A World Health Emergency	m
244665	Trader Spends $13 Million Betting VIX Index Will Surge 56% (1)	b
396410	SPOILER ALERT: 'I've loved you from the moment I saw you': Andi Dorfman  ...	e
30931	Netflix Calls for Stronger Rules on Handling of Web Traffic (2)	t
211886	ANALYSIS-Obama's Asia pivot tested by China's bold maritime claims	b
24846	Emerging Stocks Drop on Fed as H-Share Index Enters Bear Market	b
398583	UPDATE 1-VW closes in on Toyota as global auto leader	b
326030	UPDATE 1-Crafts retailer Michaels makes lackluster market debut	b
60267	Morgan Stanley Almost Doubles Gorman's 2013 Pay to $18 Million	b
415243	Jessie J, Ariana Grande and Nicki Minaj premiere raunchy Bang Bang music  ...	e
59991	Malaysian Crew Member's Husband Asks Court's Aid for Suit (1)	b
409958	GLOBAL ECONOMY-China's factories spring to life as global trade reawakens	b
107102	UPDATE 1-Outkast goes back to 1990s hip hop at Coachella reunion	e
118132	Watch The 'Game Of Thrones' Cast React To The Purple Wedding (SPOILER)	e
121377	UPDATE 3-Coca-Cola sales beat estimates as China volumes soar	b
279101	Shailene Woodley - Shailene Woodley thinks actors are too high maintenance	e
353595	UPDATE 1-NASA carbon dioxide-hunting telescope reaches orbit	t
21271	Euro flat as Russia says won't annex other parts of Ukraine	b
409670	UPDATE 2-Chevron Q2 profit tops estimates on higher oil, gas prices	b
327799	Things Get Super-Awkward When CNBC Discusses Whether Tim Cook Is Gay	t
10590	CBS's 'The Big Bang Theory' Renewed For Three More Seasons	e
115228	Kim Kardashian looks at FAKE French chateau as possible wedding location	e
139120	China March New Home Price Increases Ease on Tighter Credit (2)	b
158523	Merger Boom Tarnishes Ratings as Borrowing Soars: Credit Markets	b
387633	Microsoft to End TV Production One Month After Show Debut	t
38030	PRECIOUS-Gold drops 2 pct on fund selling, US rate hike fears	b
112281	Stocks rebound on upbeat US data; euro falls	b
321770	US STOCKS-Wall St dips after Fed's Bullard talks about rates	b
87898	After 3 Months Of Legal Pot Sales, Denver Still Not A Crime-Filled Hellscape	b
178279	Brad Pitt And Angelina Jolie Are Teaming Up For Another Movie, And That's All  ...	e
341804	Zac Efron Performs Dance To Jason Derulo's 'Wiggle,' And It's Awesome	e
331917	Lifestyles of the rich and famous! Jay Z and Beyoncé take to the high seas in  ...	e
4756	EM ASIA FX-Asia currencies firmer as yuan steadies; rupee shines	b
171287	GE Bids $17 Billion for Alstom Energy to Preempt Siemens	b
26429	Johnny Weir Announces Split From Husband Victor Weir-Voronov	e
224278	It's Still The Information Super Toll Road: An Intended Consequence of Net  ...	t
49302	Wu-tang Clan - Rappers Wu-tang Clan To Sell One Copy Of Special Album	e
363615	Nonprofits Help People Facing Death Create Videos Documenting Memories  ...	m
94231	UPDATE 3-Mickey Rooney, versatile actor and master showman, dies at 93	e
245104	UPDATE 2-US new home sales rise, but momentum lacking	b
18018	'Cosmic Inflation' Discovery Lends Key Support For Theory Of Expanding Early  ...	t
